datetime,region,demand
2021-06-01 00:00:00,0,2
2021-06-01 00:00:00,1,4
2021-06-01 00:00:00,2,4
2021-06-01 00:00:00,3,0
2021-06-01 00:00:00,4,0
2021-06-01 00:00:00,5,0
2021-06-01 00:00:00,6,0
2021-06-01 00:00:00,7,3
2021-06-01 00:00:00,8,7
2021-06-01 00:00:00,9,6
2021-06-01 00:00:00,10,3
2021-06-01 00:00:00,11,2
2021-06-01 00:00:00,12,0
2021-06-01 00:00:00,13,0
2021-06-01 00:00:00,14,5
2021-06-01 00:00:00,15,9
2021-06-01 00:00:00,16,7
2021-06-01 00:00:00,17,4
2021-06-01 00:00:00,18,0
2021-06-01 00:00:00,19,1
2021-06-01 00:00:00,20,3
2021-06-01 00:00:00,21,5
2021-06-01 00:00:00,22,4
2021-06-01 00:00:00,23,2
2021-06-01 00:00:00,24,5
2021-06-01 00:00:00,25,0
2021-06-01 00:00:00,26,4
2021-06-01 00:00:00,27,6
2021-06-01 00:00:00,28,12
2021-06-01 00:00:00,29,11
2021-06-01 00:00:00,30,2
2021-06-01 00:00:00,31,5
2021-06-01 00:00:00,32,0
2021-06-01 00:00:00,33,3
2021-06-01 00:00:00,34,5
2021-06-01 00:00:00,35,3
2021-06-01 00:00:00,36,9
2021-06-01 00:00:00,37,3
2021-06-01 00:00:00,38,6
2021-06-01 00:00:00,39,0
2021-06-01 00:00:00,40,4
2021-06-01 00:00:00,41,5
2021-06-01 00:00:00,42,0
2021-06-01 00:00:00,43,14
2021-06-01 00:00:00,44,3
2021-06-01 00:00:00,45,5
2021-06-01 00:00:00,46,3
2021-06-01 00:00:00,47,5
2021-06-01 00:00:00,48,1
2021-06-01 00:00:00,49,2
2021-06-01 00:00:00,50,68
2021-06-01 00:00:00,51,16
2021-06-01 00:00:00,52,1
2021-06-01 00:00:00,53,1
2021-06-01 00:00:00,54,2
2021-06-01 00:00:00,55,0
2021-06-01 00:00:00,56,3
2021-06-01 00:00:00,57,14
2021-06-01 00:00:00,58,21
2021-06-01 00:00:00,59,8
2021-06-01 00:00:00,60,3
2021-06-01 00:00:00,61,3
2021-06-01 00:00:00,62,1
2021-06-01 00:00:00,63,2
2021-06-01 00:00:00,64,22
2021-06-01 00:00:00,65,15
2021-06-01 00:00:00,66,15
2021-06-01 00:00:00,67,0
2021-06-01 00:00:00,68,7
2021-06-01 00:00:00,69,7
2021-06-01 00:00:00,70,0
2021-06-01 00:00:00,71,21
2021-06-01 00:00:00,72,36
2021-06-01 00:00:00,73,55
2021-06-01 00:00:00,74,6
2021-06-01 00:00:00,75,11
2021-06-01 00:00:00,76,11
2021-06-01 00:00:00,77,0
2021-06-01 00:00:00,78,4
2021-06-01 00:00:00,79,22
2021-06-01 00:00:00,80,35
2021-06-01 00:00:00,81,12
2021-06-01 00:00:00,82,5
2021-06-01 00:00:00,83,5
2021-06-01 01:00:00,0,1
2021-06-01 01:00:00,1,7
2021-06-01 01:00:00,2,2
2021-06-01 01:00:00,3,1
2021-06-01 01:00:00,4,0
2021-06-01 01:00:00,5,0
2021-06-01 01:00:00,6,0
2021-06-01 01:00:00,7,0
2021-06-01 01:00:00,8,9
2021-06-01 01:00:00,9,4
2021-06-01 01:00:00,10,0
2021-06-01 01:00:00,11,0
2021-06-01 01:00:00,12,0
2021-06-01 01:00:00,13,0
2021-06-01 01:00:00,14,7
2021-06-01 01:00:00,15,3
2021-06-01 01:00:00,16,4
2021-06-01 01:00:00,17,5
2021-06-01 01:00:00,18,0
2021-06-01 01:00:00,19,0
2021-06-01 01:00:00,20,3
2021-06-01 01:00:00,21,5
2021-06-01 01:00:00,22,3
2021-06-01 01:00:00,23,1
2021-06-01 01:00:00,24,4
2021-06-01 01:00:00,25,0
2021-06-01 01:00:00,26,2
2021-06-01 01:00:00,27,1
2021-06-01 01:00:00,28,0
2021-06-01 01:00:00,29,8
2021-06-01 01:00:00,30,2
2021-06-01 01:00:00,31,8
2021-06-01 01:00:00,32,5
2021-06-01 01:00:00,33,0
2021-06-01 01:00:00,34,5
2021-06-01 01:00:00,35,0
2021-06-01 01:00:00,36,11
2021-06-01 01:00:00,37,1
2021-06-01 01:00:00,38,5
2021-06-01 01:00:00,39,0
2021-06-01 01:00:00,40,4
2021-06-01 01:00:00,41,1
2021-06-01 01:00:00,42,3
2021-06-01 01:00:00,43,2
2021-06-01 01:00:00,44,6
2021-06-01 01:00:00,45,6
2021-06-01 01:00:00,46,0
2021-06-01 01:00:00,47,2
2021-06-01 01:00:00,48,0
2021-06-01 01:00:00,49,1
2021-06-01 01:00:00,50,52
2021-06-01 01:00:00,51,17
2021-06-01 01:00:00,52,2
2021-06-01 01:00:00,53,0
2021-06-01 01:00:00,54,0
2021-06-01 01:00:00,55,1
2021-06-01 01:00:00,56,6
2021-06-01 01:00:00,57,12
2021-06-01 01:00:00,58,8
2021-06-01 01:00:00,59,4
2021-06-01 01:00:00,60,2
2021-06-01 01:00:00,61,2
2021-06-01 01:00:00,62,0
2021-06-01 01:00:00,63,0
2021-06-01 01:00:00,64,17
2021-06-01 01:00:00,65,3
2021-06-01 01:00:00,66,1
2021-06-01 01:00:00,67,0
2021-06-01 01:00:00,68,2
2021-06-01 01:00:00,69,4
2021-06-01 01:00:00,70,0
2021-06-01 01:00:00,71,12
2021-06-01 01:00:00,72,17
2021-06-01 01:00:00,73,20
2021-06-01 01:00:00,74,7
2021-06-01 01:00:00,75,3
2021-06-01 01:00:00,76,12
2021-06-01 01:00:00,77,0
2021-06-01 01:00:00,78,5
2021-06-01 01:00:00,79,12
2021-06-01 01:00:00,80,18
2021-06-01 01:00:00,81,4
2021-06-01 01:00:00,82,4
2021-06-01 01:00:00,83,1
2021-06-01 02:00:00,0,0
2021-06-01 02:00:00,1,3
2021-06-01 02:00:00,2,3
2021-06-01 02:00:00,3,0
2021-06-01 02:00:00,4,1
2021-06-01 02:00:00,5,0
2021-06-01 02:00:00,6,0
2021-06-01 02:00:00,7,0
2021-06-01 02:00:00,8,4
2021-06-01 02:00:00,9,3
2021-06-01 02:00:00,10,0
2021-06-01 02:00:00,11,0
2021-06-01 02:00:00,12,0
2021-06-01 02:00:00,13,0
2021-06-01 02:00:00,14,0
2021-06-01 02:00:00,15,3
2021-06-01 02:00:00,16,6
2021-06-01 02:00:00,17,1
2021-06-01 02:00:00,18,0
2021-06-01 02:00:00,19,0
2021-06-01 02:00:00,20,0
2021-06-01 02:00:00,21,2
2021-06-01 02:00:00,22,4
2021-06-01 02:00:00,23,0
2021-06-01 02:00:00,24,2
2021-06-01 02:00:00,25,0
2021-06-01 02:00:00,26,0
2021-06-01 02:00:00,27,3
2021-06-01 02:00:00,28,2
2021-06-01 02:00:00,29,2
2021-06-01 02:00:00,30,1
2021-06-01 02:00:00,31,5
2021-06-01 02:00:00,32,0
2021-06-01 02:00:00,33,0
2021-06-01 02:00:00,34,4
2021-06-01 02:00:00,35,2
2021-06-01 02:00:00,36,5
2021-06-01 02:00:00,37,0
2021-06-01 02:00:00,38,4
2021-06-01 02:00:00,39,0
2021-06-01 02:00:00,40,0
2021-06-01 02:00:00,41,0
2021-06-01 02:00:00,42,1
2021-06-01 02:00:00,43,4
2021-06-01 02:00:00,44,4
2021-06-01 02:00:00,45,4
2021-06-01 02:00:00,46,1
2021-06-01 02:00:00,47,3
2021-06-01 02:00:00,48,0
2021-06-01 02:00:00,49,1
2021-06-01 02:00:00,50,18
2021-06-01 02:00:00,51,15
2021-06-01 02:00:00,52,0
2021-06-01 02:00:00,53,0
2021-06-01 02:00:00,54,1
2021-06-01 02:00:00,55,0
2021-06-01 02:00:00,56,2
2021-06-01 02:00:00,57,6
2021-06-01 02:00:00,58,3
2021-06-01 02:00:00,59,12
2021-06-01 02:00:00,60,1
2021-06-01 02:00:00,61,2
2021-06-01 02:00:00,62,0
2021-06-01 02:00:00,63,0
2021-06-01 02:00:00,64,6
2021-06-01 02:00:00,65,7
2021-06-01 02:00:00,66,13
2021-06-01 02:00:00,67,0
2021-06-01 02:00:00,68,0
2021-06-01 02:00:00,69,1
2021-06-01 02:00:00,70,0
2021-06-01 02:00:00,71,3
2021-06-01 02:00:00,72,18
2021-06-01 02:00:00,73,10
2021-06-01 02:00:00,74,1
2021-06-01 02:00:00,75,1
2021-06-01 02:00:00,76,4
2021-06-01 02:00:00,77,0
2021-06-01 02:00:00,78,6
2021-06-01 02:00:00,79,9
2021-06-01 02:00:00,80,14
2021-06-01 02:00:00,81,2
2021-06-01 02:00:00,82,0
2021-06-01 02:00:00,83,1
2021-06-01 03:00:00,0,1
2021-06-01 03:00:00,1,1
2021-06-01 03:00:00,2,2
2021-06-01 03:00:00,3,0
2021-06-01 03:00:00,4,0
2021-06-01 03:00:00,5,0
2021-06-01 03:00:00,6,0
2021-06-01 03:00:00,7,1
2021-06-01 03:00:00,8,1
2021-06-01 03:00:00,9,2
2021-06-01 03:00:00,10,0
2021-06-01 03:00:00,11,0
2021-06-01 03:00:00,12,0
2021-06-01 03:00:00,13,0
2021-06-01 03:00:00,14,0
2021-06-01 03:00:00,15,2
2021-06-01 03:00:00,16,2
2021-06-01 03:00:00,17,1
2021-06-01 03:00:00,18,0
2021-06-01 03:00:00,19,0
2021-06-01 03:00:00,20,0
2021-06-01 03:00:00,21,1
2021-06-01 03:00:00,22,1
2021-06-01 03:00:00,23,3
2021-06-01 03:00:00,24,0
2021-06-01 03:00:00,25,0
2021-06-01 03:00:00,26,0
2021-06-01 03:00:00,27,0
2021-06-01 03:00:00,28,0
2021-06-01 03:00:00,29,1
2021-06-01 03:00:00,30,0
2021-06-01 03:00:00,31,1
2021-06-01 03:00:00,32,0
2021-06-01 03:00:00,33,1
2021-06-01 03:00:00,34,1
2021-06-01 03:00:00,35,0
2021-06-01 03:00:00,36,3
2021-06-01 03:00:00,37,0
2021-06-01 03:00:00,38,2
2021-06-01 03:00:00,39,1
2021-06-01 03:00:00,40,1
2021-06-01 03:00:00,41,3
2021-06-01 03:00:00,42,1
2021-06-01 03:00:00,43,1
2021-06-01 03:00:00,44,1
2021-06-01 03:00:00,45,1
2021-06-01 03:00:00,46,0
2021-06-01 03:00:00,47,1
2021-06-01 03:00:00,48,0
2021-06-01 03:00:00,49,1
2021-06-01 03:00:00,50,23
2021-06-01 03:00:00,51,15
2021-06-01 03:00:00,52,1
2021-06-01 03:00:00,53,0
2021-06-01 03:00:00,54,0
2021-06-01 03:00:00,55,0
2021-06-01 03:00:00,56,0
2021-06-01 03:00:00,57,3
2021-06-01 03:00:00,58,0
2021-06-01 03:00:00,59,10
2021-06-01 03:00:00,60,0
2021-06-01 03:00:00,61,0
